tag,kernel,threads_per_block,blocks,iterations,num_pieces,input_bytes,num_tokens,kernel_time_ms,kernel_mbps,kernel_tokens_per_sec,e2e_time_ms,e2e_mbps,e2e_tokens_per_sec
corpus_10KB,v1,32,61,100,1949,10046,2227,2.600366,3.6843,856417.88,2.640257,3.6287,843478.50
corpus_10KB,v1,64,31,100,1949,10046,2227,2.588037,3.7019,860497.94,2.633710,3.6377,845575.12
corpus_10KB,v1,128,16,100,1949,10046,2227,2.660405,3.6012,837090.62,2.706371,3.5400,822873.19
corpus_10KB,v1,256,8,100,1949,10046,2227,2.730516,3.5087,815596.62,2.776172,3.4510,802183.62
corpus_10KB,v1,512,4,100,1949,10046,2227,2.846224,3.3661,782440.12,2.892525,3.3122,769915.62
corpus_10KB,v1,1024,2,100,1949,10046,2227,2.952941,3.2444,754163.44,2.999083,3.1945,742560.38
corpus_10KB,v2,32,1949,100,1949,10046,2227,0.428932,22.3360,5191967.00,0.472077,20.2946,4717446.00
corpus_10KB,v2,64,1949,100,1949,10046,2227,0.356946,26.8405,6239045.50,0.400156,23.9422,5565331.50
corpus_10KB,v2,128,1949,100,1949,10046,2227,0.361839,26.4775,6154664.50,0.404551,23.6821,5504867.50
corpus_10KB,v2,256,1949,100,1949,10046,2227,0.533965,17.9424,4170686.75,0.576778,16.6106,3861106.75
