tag,kernel,threads_per_block,blocks,iterations,num_pieces,input_bytes,num_tokens,kernel_time_ms,kernel_mbps,kernel_tokens_per_sec,e2e_time_ms,e2e_mbps,e2e_tokens_per_sec
corpus_1KB,v1,32,4,100,105,987,134,2.581803,0.3646,51901.71,2.604970,0.3613,51440.13
corpus_1KB,v1,64,2,100,105,987,134,2.613061,0.3602,51280.85,2.638777,0.3567,50781.09
corpus_1KB,v1,128,1,100,105,987,134,2.653348,0.3548,50502.24,2.659263,0.3540,50389.91
corpus_1KB,v1,256,1,100,105,987,134,2.644152,0.3560,50677.87,2.658455,0.3541,50405.22
corpus_1KB,v1,512,1,100,105,987,134,2.634465,0.3573,50864.21,2.658897,0.3540,50396.83
corpus_1KB,v1,1024,1,100,105,987,134,2.634449,0.3573,50864.52,2.658415,0.3541,50405.98
corpus_1KB,v2,32,105,100,105,987,134,0.327128,2.8774,409625.97,0.349396,2.6940,383518.81
corpus_1KB,v2,64,105,100,105,987,134,0.269210,3.4964,497753.44,0.292270,3.2206,458480.03
corpus_1KB,v2,128,105,100,105,987,134,0.265047,3.5514,505571.25,0.291663,3.2273,459434.78
corpus_1KB,v2,256,105,100,105,987,134,0.264443,3.5595,506725.03,0.287177,3.2777,466611.25
